epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_top10,lr,time_s
0,5.086778,2.0235,4.490221,4.7665,18.7050,31.5487,0.00025000,31.3
1,4.311783,6.5797,4.145913,9.0101,28.1827,42.3671,0.00025000,22.9
2,4.080147,9.5557,3.917434,11.8820,34.5846,49.3651,0.00025000,22.5
3,3.898630,12.1157,3.740128,14.4237,39.1783,54.0962,0.00025000,22.4
4,3.740372,14.4341,3.603968,16.5910,42.7793,57.9143,0.00025000,22.6
5,3.602076,16.6688,3.498983,18.8690,46.0367,60.7774,0.00025000,22.5
6,3.486041,18.4367,3.382353,20.7193,48.8045,63.2304,0.00025000,22.5
7,3.384091,20.3005,3.315907,21.8539,50.6061,64.7196,0.00025000,22.6
8,3.280271,21.9923,3.189127,24.4443,53.5821,67.3100,0.00025000,22.6
9,3.194697,23.7349,3.123525,26.1772,54.9028,68.7615,0.00025000,22.6
10,3.106278,25.3095,3.037669,27.4470,57.1720,70.3238,0.00025000,22.5
11,3.025272,26.6855,3.007887,28.4397,57.7858,70.8711,0.00025000,22.4
12,2.951922,28.2106,2.893736,30.6335,60.3497,72.9319,0.00025000,22.4
13,2.884049,29.5499,2.837900,31.9055,61.5397,74.0732,0.00025000,22.4
14,2.812893,30.9355,2.767736,33.3237,62.9291,75.2831,0.00025000,22.1
15,2.758193,32.1219,2.742996,34.1148,63.4210,75.5401,0.00025000,22.3
16,2.695949,33.4251,2.664375,35.7591,65.1960,76.8742,0.00025000,22.6
17,2.646197,34.4416,2.659029,35.9696,65.3423,77.1246,0.00025000,22.5
18,2.593299,35.5862,2.595645,37.3147,66.7627,77.9844,0.00025000,22.2
19,2.545870,36.4169,2.548488,38.5069,67.5671,78.5561,0.00025000,22.4
20,2.498823,37.5089,2.540727,38.8836,67.8020,78.6957,0.00025000,22.6
21,2.445680,38.5761,2.490843,39.8874,68.6684,79.3250,0.00025000,22.4
22,2.412135,39.2179,2.456964,40.6608,69.4263,79.8236,0.00025000,22.2
23,2.372659,39.9788,2.409797,41.7909,70.2839,80.4264,0.00025000,22.3
24,2.328227,41.0074,2.406235,42.1433,70.2418,80.3599,0.00025000,22.4
25,2.296082,41.6460,2.397661,42.1411,70.6163,80.6878,0.00025000,22.4
26,2.263701,42.4354,2.392802,41.9394,70.7980,80.8274,0.00025000,22.3
27,2.226949,43.1913,2.303247,44.5365,72.1763,81.8756,0.00025000,22.2
28,2.191156,43.7424,2.329414,43.9537,71.6600,81.5366,0.00025000,22.5
29,2.156303,44.4913,2.301262,44.6340,72.4976,81.7914,0.00025000,22.5
30,2.132178,44.9726,2.297750,44.8335,72.5663,81.7581,0.00025000,22.3
31,2.098897,45.7621,2.259411,45.6977,73.0073,82.1792,0.00025000,22.3
32,2.069859,46.3290,2.234280,46.2738,73.6189,82.5515,0.00025000,22.3
33,2.055707,46.6683,2.225925,46.3403,73.5657,82.7908,0.00025000,22.2
34,2.017836,47.5142,2.210372,46.8832,73.8405,82.8883,0.00025000,22.4
