epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_top10,lr,time_s
0,4.302716,8.2019,4.221389,9.2938,27.9101,41.5029,0.00100000,27.3
1,3.683098,15.9896,4.489815,9.8877,28.0409,41.2436,0.00100000,25.0
2,3.326684,22.1141,3.531995,19.4761,45.8883,59.7868,0.00100000,24.8
3,3.051782,26.9671,3.331943,23.7862,51.4902,65.0675,0.00100000,24.8
4,2.823800,31.3381,3.062083,28.5417,57.0789,69.7675,0.00100000,24.8
5,2.642948,34.8195,2.727632,33.9907,63.8576,75.8792,0.00100000,24.7
6,2.486426,38.1513,2.614611,36.5236,66.0890,77.4769,0.00100000,25.0
7,2.352504,41.0258,2.367017,41.5228,70.9797,81.4368,0.00100000,25.0
8,2.240210,43.2452,2.591565,37.4587,67.2170,78.5649,0.00100000,24.9
9,2.140928,45.3899,2.857339,34.2988,63.8354,75.2897,0.00100000,24.9
10,2.055101,47.2555,3.445104,28.8275,56.1416,68.0236,0.00100000,25.0
11,1.981983,48.8383,2.248807,45.1415,73.0981,82.6689,0.00100000,24.9
12,1.906732,50.5910,2.173151,46.3425,74.9285,83.8124,0.00100000,24.9
13,1.847352,51.8764,2.033843,49.3629,77.1179,85.3923,0.00100000,24.9
14,1.789611,53.1700,1.903711,52.7821,79.0569,87.0521,0.00100000,25.0
15,1.736312,54.2810,1.985676,50.6792,77.9533,85.9973,0.00100000,25.0
16,1.686148,55.4599,1.830612,54.3821,80.1250,87.6704,0.00100000,24.9
17,1.642394,56.4142,1.976195,51.2642,78.2458,86.1857,0.00100000,25.0
18,1.602129,57.3718,2.349460,44.1997,72.9275,82.4739,0.00100000,24.9
19,1.568105,58.0211,1.974585,51.5080,78.2458,86.1790,0.00100000,24.9
20,1.527209,59.0472,2.085723,49.5646,76.7523,85.1929,0.00100000,24.9
21,1.492427,59.8170,1.701585,57.7238,82.3764,88.9911,0.00100000,25.0
22,1.461988,60.4308,1.747171,56.6313,81.9221,88.8293,0.00100000,25.1
23,1.434400,61.1258,1.744030,56.7133,81.7138,88.6963,0.00100000,24.9
24,1.403807,61.6642,1.820478,55.2419,81.0579,88.1978,0.00100000,24.9
25,1.381935,62.2711,1.613666,59.8755,83.6971,89.9550,0.00100000,24.9
26,1.355159,62.8767,2.422296,46.2096,72.8832,82.1903,0.00100000,25.1
27,1.330290,63.4385,2.056065,50.3202,77.2642,85.3148,0.00100000,24.9
28,1.306624,63.9065,1.967758,53.3007,79.2674,86.6931,0.00100000,24.9
29,1.287253,64.4798,1.575491,61.4444,84.3686,90.4337,0.00100000,24.8
30,1.264309,64.9401,1.677489,58.8096,82.9636,89.2614,0.00100000,24.9
31,1.246219,65.3441,2.426250,47.5037,73.4837,82.1127,0.00100000,24.9
32,1.229301,65.6726,1.563124,61.5751,84.5170,90.3716,0.00100000,24.9
33,1.207042,66.1900,1.601434,60.9967,84.0140,90.1389,0.00100000,25.0
34,1.195463,66.4874,1.589094,61.0699,84.2001,90.2475,0.00100000,24.8
35,1.179717,66.8539,2.278895,49.4848,76.0786,84.5237,0.00100000,24.9
36,1.157714,67.3302,1.717803,58.6722,83.0124,89.2082,0.00100000,24.8
37,1.146715,67.5185,1.630804,60.8239,84.0406,90.0326,0.00100000,24.8
38,1.125991,68.0918,3.688907,35.3669,60.9192,71.4827,0.00100000,24.9
39,1.114304,68.3549,1.455758,64.6620,86.2322,91.3887,0.00100000,25.0
40,1.104520,68.5483,1.607667,61.0588,84.1514,89.9705,0.00100000,25.0
41,1.089830,68.9022,1.510227,63.7822,85.6538,91.0586,0.00100000,24.8
42,1.075859,69.1818,1.465912,64.7018,86.0017,91.2514,0.00100000,25.0
43,1.061982,69.5262,1.685081,59.9109,83.5752,89.6802,0.00100000,24.9
44,1.050620,69.7532,1.466588,64.6088,86.2278,91.4752,0.00100000,24.9
45,1.038181,70.1603,1.942826,55.1865,80.3266,87.5485,0.00100000,24.8
46,1.030638,70.3290,1.500045,64.3473,85.9042,91.3134,0.00100000,24.9
47,1.019035,70.5205,1.590656,62.1712,84.4350,90.1279,0.00100000,24.8
48,1.008822,70.8502,1.558582,63.1352,85.1309,90.7483,0.00100000,24.9
49,0.995797,71.0107,1.494308,64.5223,85.9330,91.1428,0.00100000,24.9
50,0.984203,71.3645,1.583915,62.4770,84.9048,90.4736,0.00100000,24.9
51,0.879848,74.0672,1.886148,57.7016,81.6141,88.3972,0.00050000,25.1
52,0.858039,74.7254,1.469336,65.5616,86.3740,91.5439,0.00050000,24.9
53,0.846149,74.9556,1.356397,68.1565,87.6992,92.2087,0.00050000,24.9
54,0.831724,75.2625,1.343971,68.0457,87.8454,92.3062,0.00050000,24.8
55,0.824865,75.5187,1.381437,67.6823,87.4753,92.1621,0.00050000,24.8
56,0.815007,75.6811,1.540013,64.1102,85.4500,90.7638,0.00050000,24.9
57,0.802382,76.1230,1.357450,68.2939,87.7346,92.2707,0.00050000,24.9
58,0.793062,76.2315,1.355998,68.5310,87.8587,92.2840,0.00050000,24.9
59,0.790581,76.2308,1.476228,66.1577,86.5712,91.4574,0.00050000,24.8
60,0.779332,76.6005,1.360265,68.5975,87.8875,92.3948,0.00050000,24.9
61,0.778278,76.5948,1.418370,67.4696,87.4621,92.0092,0.00050000,24.9
62,0.770613,76.7470,1.392627,67.7887,87.1319,91.8718,0.00050000,24.9
63,0.764201,76.9525,1.364620,68.3914,87.6704,92.2220,0.00050000,25.0
64,0.755123,77.2347,1.389436,67.9283,87.6836,92.1887,0.00050000,24.9
65,0.753781,77.1472,1.355613,68.8612,87.8454,92.3948,0.00050000,25.0
66,0.703907,78.5721,1.332008,69.5770,88.3551,92.6142,0.00025000,24.9
67,0.687834,79.0305,1.310384,69.9493,88.5878,92.7427,0.00025000,24.9
68,0.683586,79.0743,1.327138,69.7742,88.3263,92.5876,0.00025000,25.0
69,0.677453,79.3222,1.313431,70.1642,88.5700,92.7626,0.00025000,25.0
70,0.670015,79.5163,1.347103,69.5991,88.3772,92.5122,0.00025000,24.9
71,0.665493,79.5518,1.431086,67.8729,87.3778,91.9871,0.00025000,24.9
72,0.661877,79.6342,1.331352,69.9271,88.3772,92.5699,0.00025000,24.9
73,0.655418,79.6995,1.337607,69.7277,88.1756,92.4458,0.00025000,24.8
74,0.651201,79.9431,1.342571,69.7786,88.3462,92.6009,0.00025000,24.9
75,0.650864,79.9754,1.315885,70.3459,88.5966,92.7582,0.00025000,24.8
76,0.642643,80.1973,1.320190,70.3725,88.4858,92.6851,0.00025000,24.9
77,0.644143,80.0737,1.321582,70.3348,88.5390,92.7494,0.00025000,24.9
78,0.638451,80.3210,1.359703,69.7808,88.3218,92.5411,0.00025000,24.9
79,0.615531,80.9780,1.304058,70.7492,88.7274,92.8801,0.00012500,24.9
80,0.606386,81.2874,1.316220,70.5365,88.6343,92.8136,0.00012500,24.9
81,0.603853,81.2316,1.306236,70.6805,88.8204,92.8934,0.00012500,24.9
82,0.606972,81.2075,1.304758,70.7559,88.8138,92.9023,0.00012500,24.9
83,0.598341,81.3838,1.307556,70.7825,88.7761,92.8734,0.00012500,24.9
84,0.597441,81.4136,1.438779,68.3227,87.5596,92.1311,0.00012500,24.8
85,0.591522,81.4383,1.331067,70.5010,88.6277,92.8646,0.00012500,24.9
86,0.590000,81.6254,1.311193,70.7404,88.7584,92.9023,0.00012500,24.9
87,0.589880,81.6108,1.325844,70.6074,88.4703,92.7649,0.00012500,25.0
88,0.589542,81.5905,1.342761,70.2107,88.3817,92.6541,0.00012500,24.9
89,0.582527,81.8245,1.324445,70.5409,88.6055,92.7915,0.00012500,24.9
90,0.582033,81.8410,1.317828,70.8312,88.8714,92.8934,0.00012500,24.9
91,0.567776,82.1435,1.322026,70.7470,88.8315,92.9244,0.00006250,24.8
92,0.571468,82.1276,1.317530,70.8822,88.7318,92.8513,0.00006250,24.9
93,0.563222,82.4929,1.310105,70.9221,88.8492,92.8380,0.00006250,25.0
94,0.566312,82.3585,1.306908,71.0639,88.9069,92.9865,0.00006250,24.9
95,0.563179,82.2849,1.308662,71.1703,88.9069,92.9709,0.00006250,24.9
96,0.560579,82.3864,1.317293,70.9043,88.8448,92.9311,0.00006250,25.0
97,0.561151,82.3223,1.326711,70.7758,88.8470,92.8845,0.00006250,24.9
98,0.560122,82.3432,1.310417,71.0329,88.9623,92.9798,0.00006250,25.0
99,0.558591,82.5386,1.309219,71.1481,88.8559,92.9444,0.00006250,24.8
100,0.555420,82.6299,1.316754,70.9176,88.7540,92.8070,0.00006250,24.9
101,0.560195,82.3382,1.314143,71.0240,88.9091,92.9599,0.00006250,25.0
102,0.555716,82.4999,1.311707,71.0018,88.9202,93.0064,0.00003125,24.9
103,0.550662,82.8100,1.312734,71.1725,88.9889,92.9621,0.00003125,24.9
104,0.549530,82.8144,1.306206,71.2013,88.9667,92.9953,0.00003125,24.9
105,0.550599,82.6825,1.309907,71.2124,88.9756,93.0086,0.00003125,24.7
106,0.542989,82.8569,1.308062,71.2833,89.0199,92.9865,0.00003125,25.0
107,0.546530,82.7326,1.305802,71.1902,88.9445,92.9621,0.00003125,24.9
108,0.543429,82.9336,1.308956,71.1769,89.0354,92.9466,0.00003125,24.9
109,0.544734,83.0129,1.312892,71.1060,88.9357,92.9732,0.00003125,24.9
110,0.544890,82.8436,1.315036,71.1503,89.0132,92.9621,0.00003125,24.9
111,0.544143,82.9964,1.327314,70.8423,88.8692,92.9333,0.00003125,24.9
112,0.544910,82.8277,1.310846,71.2367,88.9822,92.9776,0.00003125,25.0
113,0.541265,82.9590,1.306178,71.3165,88.9711,93.0064,0.00001563,24.9
114,0.541166,82.9349,1.310470,71.2478,89.0021,92.9931,0.00001563,24.9
115,0.540077,82.9755,1.307266,71.1813,89.0575,92.9953,0.00001563,24.9
116,0.537042,83.0573,1.311256,71.3165,89.0243,93.0131,0.00001563,24.8
117,0.538582,83.0046,1.310533,71.2456,89.0243,93.0064,0.00001563,24.8
118,0.537701,83.0446,1.309617,71.2279,89.0509,92.9865,0.00001563,24.9
119,0.536417,83.1435,1.308397,71.2345,89.0021,92.9975,0.00001563,24.9
120,0.533705,83.1936,1.307074,71.3564,89.0199,93.0352,0.00001563,25.0
121,0.537229,83.0123,1.311487,71.2301,89.0376,93.0175,0.00001563,24.9
122,0.533182,83.2900,1.310056,71.2101,89.0398,92.9798,0.00001563,25.0
123,0.533114,83.2399,1.311938,71.1791,88.9733,92.9931,0.00001563,24.9
124,0.535690,83.2526,1.307799,71.1725,89.0420,93.0153,0.00000781,25.0
125,0.533820,83.2152,1.311892,71.2567,89.0066,93.0108,0.00000781,24.8
126,0.532661,83.1879,1.305942,71.2855,88.9844,93.0086,0.00000781,24.9
127,0.534286,83.1435,1.311162,71.2589,88.9778,93.0131,0.00000781,24.9
128,0.536653,83.0674,1.308076,71.2412,89.0177,93.0352,0.00000781,25.0
129,0.533495,83.2228,1.308827,71.2700,88.9977,92.9643,0.00000781,25.8
130,0.534869,83.2405,1.307613,71.3387,89.0221,93.0064,0.00000781,25.1
131,0.532133,83.2925,1.307549,71.2655,88.9977,92.9909,0.00000781,25.2
132,0.534898,83.1961,1.309362,71.2943,89.0265,93.0108,0.00000781,25.2
133,0.532661,83.2374,1.312208,71.3232,89.0066,93.0441,0.00000781,25.2
134,0.530533,83.3090,1.312822,71.2943,89.0310,92.9931,0.00000781,25.0
135,0.535334,83.1879,1.304543,71.3298,89.0376,92.9687,0.00000391,25.6
136,0.535041,83.1442,1.303859,71.2611,89.0154,92.9931,0.00000391,25.0
137,0.531758,83.1797,1.308786,71.2855,88.9955,93.0396,0.00000391,25.2
138,0.530715,83.2386,1.307794,71.2434,88.9866,92.9709,0.00000391,25.0
139,0.530873,83.2475,1.306492,71.3475,89.0265,92.9399,0.00000391,25.0
140,0.529324,83.3483,1.309760,71.1968,88.9955,92.9754,0.00000391,24.9
141,0.528333,83.3008,1.311744,71.3630,89.0465,93.0131,0.00000391,24.9
142,0.529438,83.2944,1.307235,71.3963,88.9490,93.0507,0.00000391,24.8
143,0.530784,83.1651,1.310154,71.3209,89.0398,93.0419,0.00000391,24.8
144,0.529987,83.2913,1.309674,71.3387,89.0066,92.9909,0.00000391,24.9
