epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_top10,lr,time_s
0,2.623007,40.8188,1.381258,64.3384,87.5751,92.7782,0.00001000,247.9
1,1.427613,62.4215,1.066594,71.3209,91.6657,95.3553,0.00000976,242.7
2,1.163279,68.7164,0.928363,74.9485,93.1660,96.2439,0.00000905,242.2
3,1.016644,72.2924,0.856473,76.7235,93.9504,96.6849,0.00000794,242.4
4,0.920499,74.5883,0.811548,77.9001,94.4268,96.8932,0.00000655,241.6
5,0.854469,76.2572,0.776319,78.9261,94.7415,97.1348,0.00000500,241.4
6,0.803748,77.5537,0.758949,79.4225,94.8988,97.2145,0.00000345,242.1
7,0.773294,78.3251,0.744066,79.7704,95.0030,97.2943,0.00000206,241.6
8,0.753677,78.7596,0.734189,80.0674,95.1692,97.3275,0.00000095,241.8
9,0.746831,79.0472,0.734726,80.0784,95.1625,97.3142,0.00000024,241.8
10,0.780219,78.0167,0.737395,79.9300,95.2268,97.3386,0.00001000,241.2
11,0.724826,79.3132,0.702593,80.8031,95.4949,97.5137,0.00000994,241.8
12,0.676260,80.6344,0.692760,81.1820,95.6168,97.5957,0.00000976,241.1
13,0.633541,81.6002,0.677499,81.6030,95.7852,97.7065,0.00000946,241.0
14,0.594445,82.6884,0.663149,82.2302,95.9603,97.7441,0.00000905,241.0
15,0.560826,83.4269,0.657358,82.6091,95.9536,97.7065,0.00000854,241.0
16,0.528596,84.1755,0.650978,82.6135,96.1331,97.7885,0.00000794,241.0
17,0.501855,84.9571,0.643651,82.9326,96.2173,97.8106,0.00000727,240.9
18,0.478027,85.5531,0.639467,83.0988,96.1819,97.8461,0.00000655,241.1
19,0.456838,86.0388,0.636549,83.3027,96.2107,97.8461,0.00000578,240.9
20,0.438246,86.5766,0.632707,83.5597,96.3126,97.8394,0.00000500,240.9
21,0.421673,87.0015,0.634820,83.6439,96.3370,97.8128,0.00000422,241.1
22,0.407205,87.5006,0.636054,83.6816,96.3547,97.8527,0.00000345,241.2
23,0.396932,87.5849,0.637063,83.8611,96.3082,97.8439,0.00000273,241.1
24,0.383694,88.0308,0.630476,83.8833,96.3747,97.8705,0.00000206,240.8
25,0.379277,88.1492,0.630477,84.0605,96.3702,97.8793,0.00000146,241.0
26,0.371351,88.4241,0.635146,83.9830,96.4013,97.9148,0.00000095,240.9
27,0.365838,88.5932,0.633502,84.0561,96.3946,97.8749,0.00000054,240.9
28,0.363683,88.6369,0.630834,84.0982,96.4146,97.9059,0.00000024,241.0
29,0.363093,88.6109,0.633591,84.1049,96.3858,97.8815,0.00000006,241.3
30,0.407115,87.2682,0.647302,83.5265,96.3104,97.8705,0.00001000,241.0
31,0.392825,87.6710,0.647555,83.7902,96.3038,97.8549,0.00000998,240.9
32,0.377948,88.1080,0.645113,83.7791,96.3259,97.8527,0.00000994,241.0
33,0.361400,88.4652,0.654516,83.8079,96.3348,97.8572,0.00000986,241.1
34,0.346119,88.8389,0.661751,83.8655,96.2528,97.7995,0.00000976,241.1
35,0.329177,89.3621,0.662993,83.8456,96.2905,97.8018,0.00000962,241.4
36,0.315030,89.7864,0.666858,83.8700,96.3104,97.8084,0.00000946,241.2
37,0.301119,90.1284,0.684806,84.0605,96.2683,97.8483,0.00000926,241.2
38,0.289244,90.4958,0.671912,84.1470,96.3104,97.8261,0.00000905,240.8
39,0.274194,90.8454,0.695107,84.0096,96.3304,97.8306,0.00000880,240.8
40,0.264449,91.0437,0.689945,84.0650,96.3392,97.8350,0.00000854,241.2
41,0.250501,91.5643,0.691200,84.1270,96.3459,97.8018,0.00000825,241.2
42,0.242484,91.7695,0.711134,84.2400,96.2750,97.7752,0.00000794,241.6
43,0.232087,92.0608,0.713163,84.2733,96.2750,97.7951,0.00000761,242.4
44,0.224363,92.2806,0.726199,84.3530,96.3171,97.8217,0.00000727,241.2
45,0.214679,92.5054,0.730920,84.2201,96.2151,97.7574,0.00000691,241.4
46,0.207866,92.7670,0.741625,84.3619,96.3104,97.8106,0.00000655,241.4
47,0.201373,92.9159,0.741422,84.4084,96.2284,97.7419,0.00000617,241.3
48,0.192935,93.2743,0.743555,84.3819,96.2750,97.7862,0.00000578,241.3
49,0.187429,93.3852,0.757266,84.4262,96.2240,97.7730,0.00000539,241.6
